,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
29,"El Bajio, Portal San Angel",ChIJ51LE-lAB0oURZA6P1NYtqPc,19.3606898,-99.190213,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Alfonso Caso 101, Los Alpes, Ciudad de México"
30,La Bella Lula,ChIJPa3RHTX_0YURMnrxUXFCJ78,19.3594433,-99.18986989999999,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Cjon. de Corregidora 5, Campestre, Ciudad de México"
31,Taquería La Lupita Ayuuk,ChIJLRQ9AyQA0oURRT2lZVqVkiM,19.3661003,-99.1956656,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Lomas De Plateros 65, Merced Gómez, Ciudad de México"
32,Papa John's,ChIJixFZfRgA0oUR9hQeHXmLqjM,19.3588133,-99.1982299,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Col. Las Águilas, Leones 76, Águilas, Ciudad de México"
33,La Rana,ChIJc1AnYIr_0YURrW0ZeiY2444,19.3628506,-99.18863239999999,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Barranca del Muerto 376, Guadalupe Inn, Ciudad de México"
34,Sushi Kai,ChIJ14ntqSYA0oURRYROa5XGWJs,19.3659273,-99.1952877,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Av Centenario 59B, Merced Gómez, Ciudad de México"
35,El Q,ChIJq2egifX_0YURghH1dUHZj5k,19.3559475,-99.1896896,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1412, Guadalupe Inn, Ciudad de México"
36,Winsgstone restaurante,ChIJKWQCwIP_0YURBOh3d3yI0kE,19.3632362,-99.18706929999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Miguel Noreña 39, San José Insurgentes, Ciudad de México"
37,Mesón Taurino,ChIJz7Wb9B0A0oURmLFIR5q_ZNw,19.352882,-99.1905117,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1511, Tlacopac, Ciudad de México"
38,Toks Las Aguilas,ChIJtw2tZ9D_0YURR0-yGY_64h0,19.3573798,-99.19895249999999,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Manuel Gutiérrez Zamora 2, Las Águilas, Ciudad de México"
39,Costeñito San Ángel,ChIJpVaPpor_0YUR5TfMtGfRTWQ,19.3608956,-99.19061269999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1267, Ampliacion Los Alpes, Ciudad de México"
